candidate_id,source_stage,model,feature_set,seq_len,patch_len,patch_stride,line_gate_pass,risk_category,stage4_label,risk_aware_rank,ranking_floor_pass,ic_mean,long_short_spread,fee_adjusted_return,false_safe_tail_rate,severe_downside_recall,conservative_bias,upside_sacrifice,stress_false_safe_tail_rate,stress_severe_downside_recall,h1_false_safe_tail_rate,h2_h3_false_safe_tail_rate,h4_h5_false_safe_tail_rate,forward_eval_status
cp148_s2_patchtst_no_fund_p32_s16,stage2,patchtst,no_fundamentals,252,32,16,True,line_survivor,primary_stage4_base,1,True,0.056972458887751314,0.008388639652644704,22.429805529548666,0.30866056266521946,0.6850190785352241,-0.021585505455732346,0.06415590643882751,0.20648967551622419,0.6515151515151515,0.32144303650986517,0.30560698993172086,0.2943814373336419,evaluated
cp148_s2_patchtst_pvv_p32_s16,stage2,patchtst,price_volatility_volume,252,32,16,True,line_survivor,secondary_stage4_base,2,True,0.05154476338679298,0.008207320613202585,20.433456425169066,0.3137083267683222,0.6798792641949997,-0.02109101600944996,0.06387840211391449,0.1976401179941003,0.6818181818181818,0.31901290285251405,0.3121745168383289,0.3029741928017591,evaluated
cp148_s2_tide_pvv,stage2,tide,price_volatility_volume,252,16,8,True,line_survivor,stress_risk_candidate,3,False,0.03482222890815196,0.00485202478817509,1.3550156965056233,0.3189078155727899,0.6728173586195113,-0.006279823370277882,0.047001756727695465,0.35693215339233036,0.803030303030303,0.20638777989932303,0.30546233074875595,0.34596690197893765,evaluated
cp148_s2_patchtst_pvv_p16_s8,stage2,patchtst,price_volatility_volume,252,16,8,True,line_survivor,stress_risk_candidate,4,True,0.060281855416376415,0.010404247864271899,108.09840577476116,0.319117895928526,0.677273762742753,-0.02051217295229435,0.06319097429513931,0.27728613569321536,0.6060606060606061,0.3268529769137303,0.3190313621108668,0.3090788103228793,evaluated
s3_no_fund_d15_wd01_lr1e4,stage3,patchtst,no_fundamentals,252,32,16,True,line_survivor,stress_risk_candidate,5,True,0.06749011871533037,0.010935616114588818,193.55852312286294,0.32980281624387997,0.6575687681530838,-0.019523367285728455,0.06100760027766228,0.25663716814159293,0.6666666666666666,0.33631314007984725,0.3266982988080083,0.3200729082282143,evaluated
s3_no_fund_d25_wd10_lr2e4,stage3,patchtst,no_fundamentals,252,32,16,True,line_survivor,stress_risk_candidate,6,True,0.0644341245885919,0.009902002755849076,98.35607988622624,0.33576092855517237,0.6544934221766615,-0.018642360344529152,0.06030493229627609,0.25958702064896755,0.6666666666666666,0.3422438234102876,0.33844462446476103,0.32209813678972343,evaluated
s3_no_fund_d25_wd05_lr1e4,stage3,patchtst,no_fundamentals,252,32,16,True,line_survivor,stress_risk_candidate,7,True,0.06575217474658356,0.010533684894653561,151.61642759414633,0.3588814388170142,0.6284241699413406,-0.015785472467541695,0.057007137686014175,0.2861356932153392,0.6363636363636364,0.36501186136666086,0.3592755468117116,0.3480499942136327,evaluated
s3_pvv_p16_d35_wd10_lr5e5,stage3,patchtst,price_volatility_volume,252,16,8,True,line_survivor,stress_risk_candidate,8,True,0.0730803925797733,0.016486077025359286,12216.557601385506,0.393620559864148,0.5900962469388917,-0.012898246757686138,0.053707949817180634,0.2536873156342183,0.6515151515151515,0.3610484290921715,0.382854993634996,0.3857481772942946,evaluated
s3_pvv_p16_d25_wd05_lr1e4,stage3,patchtst,price_volatility_volume,252,16,8,True,line_survivor,stress_risk_candidate,9,True,0.07287773280017043,0.0162717541559639,10493.350736728933,0.4029691356944031,0.5819380374736602,-0.011667964980006218,0.052497196942567825,0.26548672566371684,0.6515151515151515,0.37345946884221487,0.384938085869691,0.4000115727346372,evaluated
s3_pvv_p16_d15_wd01_lr1e4,stage3,patchtst,price_volatility_volume,252,16,8,True,line_survivor,stress_risk_candidate,10,True,0.07284315109298432,0.016173923007528443,9622.676115921347,0.40752087673535126,0.568440685688251,-0.012532796710729599,0.0515427328646183,0.25958702064896755,0.6515151515151515,0.34429786495400105,0.3553697488716584,0.4309686378891332,evaluated
s3_pvv_p32_ref_d25_wd05_lr1e4,stage3,patchtst,price_volatility_volume,252,32,16,True,line_survivor,stress_risk_candidate,11,True,0.07015720075626855,0.012709131011579408,737.3774061255549,0.4182874949668248,0.5659633236516886,-0.010181048884987831,0.050309572368860245,0.27728613569321536,0.6363636363636364,0.38491581322687035,0.389422520541604,0.41939590325193843,evaluated
s3_no_fund_d35_wd10_lr5e5,stage3,patchtst,no_fundamentals,252,32,16,True,line_survivor,stress_risk_candidate,12,True,0.05478738634743685,0.012445457114500976,701.104653138009,0.4320535938329744,0.5527080129847941,-0.008218908682465553,0.04819175601005554,0.29793510324483774,0.6212121212121212,0.4017242376902158,0.4082282143270455,0.4296956370790418,evaluated
cp148_s2_patchtst_pvv_seq180,stage2,patchtst,price_volatility_volume,180,16,8,True,line_survivor,rejected,13,False,0.038864169992792345,0.00771730497668164,20.49652298449596,0.46794307803213925,0.5227804910684418,-0.0040276143699884415,0.04491196945309639,0.41776315789473684,0.5333333333333333,0.47293647667810723,0.46964325905919424,0.4719502588341211,evaluated
cp148_s2_cnn_lstm_pvv,stage2,cnn_lstm,price_volatility_volume,252,16,8,False,risk_only_reference,risk_only_reference,,False,0.006531782733376471,-0.0001577301174628459,-0.8732783025499474,0.11377018376195562,0.8659376957685517,-0.008074570447206497,0.04957709461450577,0.23893805309734514,0.7727272727272727,0.029508765839264015,0.09061451220923504,0.14286540909616943,evaluated
