family,timeframe,ops_model_id,baseline_id,metric,n_obs,n_tickers,mean_diff,cohens_d,dm_stat,dm_p_two_sided,dm_p_a_better,cluster_n,cluster_ci_lower,cluster_ci_upper,block_sqrt_t_n,block_sqrt_t_size,block_sqrt_t_ci_lower,block_sqrt_t_ci_upper,block_22_n,block_22_ci_lower,block_22_ci_upper,gw_vix_wald_p,gw_vix_beta,gw_vix_beta_p,gw_dd_wald_p,gw_dd_beta,gw_dd_beta_p,gw_combined_wald_p,gw_combined_beta,gw_combined_beta_p,dm_p_two_sided_bonferroni,dm_p_a_better_bonferroni,gw_vix_wald_p_bonferroni,gw_vix_beta_p_bonferroni,gw_dd_wald_p_bonferroni,gw_dd_beta_p_bonferroni,gw_combined_wald_p_bonferroni,gw_combined_beta_p_bonferroni,n_tests
line,1D,cp210_F4_b4_ensemble_mean,naive_zero,ic_daily,0,471,,,,,,0,,,0,2,,,0,,,,,,,,,,,,,,,,,,,,11
line,1D,cp210_F4_b4_ensemble_mean,historical_mean,ic_daily,381,471,0.008131917229648202,0.11611112864427872,-1.2175319359252463,0.2234018932543833,0.1117009466271916,0,,,1000,19,-0.009001609822735188,0.026355442311614748,1000,-0.00849184300750494,0.026951509667560457,0.0,-0.04002652053746253,0.0,0.0,-0.022897809165990265,0.0,0.0,-0.02741671307065617,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11
line,1D,cp210_F4_b4_ensemble_mean,cp175_beta5,ic_daily,239,471,-0.002701579193739071,-0.0729779838641723,0.8595498595059347,0.39003722439822086,0.8049813878008896,0,,,1000,15,-0.009462960180826485,0.004804177279584109,1000,-0.009855159488506614,0.005253613623790442,,,,,,,,,,1.0,1.0,,,,,,,11
band,1D,tide-1D-ea54dcae654d,bollinger,pinball_daily,251,474,-0.005014426515298709,-1.9683242025396626,-17.21371716006161,0.0,1.0476975908697752e-66,1000,-0.005206116812769323,-0.004863438883330673,1000,15,-0.005653375119436532,-0.004255838086828589,1000,-0.005684507696423679,-0.0041593941976316275,,,,,,,,,,0.0,1.1524673499567527e-65,,,,,,,11
band,1D,tide-1D-ea54dcae654d,historical_quantile,pinball_daily,251,474,0.0006486189935371767,0.934020059697527,9.32992775517491,0.0,1.0,1000,0.000528096640482545,0.0007912011671578511,1000,15,0.0005043654760811478,0.0008199874355341308,1000,0.0004779802249686327,0.0008262307746917941,,,,,,,,,,0.0,1.0,,,,,,,11
band,1D,tide-1D-ea54dcae654d,garch_p_q_1_1,pinball_daily,251,474,0.0002981096193404898,0.2370589127271573,2.000772548153236,0.045416907075452206,0.9772915464622739,1000,0.0001376911925035529,0.00045327079424168905,1000,15,-0.00010452806545799823,0.0007034820024273357,1000,-0.00016107181872939685,0.0007158574459026567,,,,,,,,,,0.49958597782997427,1.0,,,,,,,11
band,1D,tide-1D-ea54dcae654d,garch_walkforward,pinball_daily,238,474,0.00046237131450153316,0.452132923759703,3.962943626332094,7.403126759819578e-05,0.9999629843662009,1000,0.00018752060823317153,0.00043688178484444504,1000,15,0.00013898066245019453,0.0007545574087998828,1000,9.552762385283133e-05,0.0008020187262445688,,,,,,,,,,0.0008143439435801536,1.0,,,,,,,11
band,1W,tide_s104_q10q90_param,bollinger,pinball_daily,101,445,-0.0027444261958704595,-0.6551145979213573,-3.805795946309861,0.00014134888497929765,7.067444248968101e-05,1000,-0.003082102135522291,-0.002372019470203668,1000,10,-0.00456157688749954,-0.001077571584028192,1000,-0.004602745536249131,-0.0015737090521724896,0.0,0.004769893085138869,0.0,0.0,0.004197734743248826,0.0,0.0,0.004891492330086549,0.0,0.0015548377347722742,0.0007774188673864912,0.0,0.0,0.0,0.0,0.0,0.0,11
band,1W,tide_s104_q10q90_param,historical_quantile,pinball_daily,101,445,0.0014761759752790222,1.1713385339581697,7.486881462804173,7.061018436615996e-14,0.9999999999999647,1000,0.0012202008452732117,0.0017776037129806355,1000,10,0.0011092096334323288,0.0019901022140402344,1000,0.0011787771101808176,0.0018356401298660785,0.0,0.0018863135211219912,0.0,0.0,0.001480578502910338,0.0,0.0,0.0017830456672100854,0.0,7.767120280277595e-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11
band,1W,tide_s104_q10q90_param,garch_p_q_1_1,pinball_daily,104,445,0.0014846243480194136,0.611158790993991,3.5802414701827723,0.00034327683449930646,0.9998283615827503,1000,0.0011326747538987548,0.0018679444590816274,1000,10,0.0006418230739654975,0.00251161414780654,1000,0.000614287136704661,0.002304631861625239,0.0,0.004646052896473203,0.0,0.0,0.003022377226168124,0.0,0.0,0.0035919079550444013,0.0,0.003776045179492371,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11
band,1W,tide_s104_q10q90_param,garch_walkforward,pinball_daily,99,445,-0.006941259938404288,-0.9848560249276825,-5.11870871385237,3.0763466529748484e-07,1.5381733263454612e-07,1000,-0.010820733802393078,-0.0022406333766411993,1000,9,-0.010710577247664332,-0.002882303443038836,1000,-0.01191011157352477,-0.0012218322546686978,0.0,0.00647702873511342,0.0,0.0,0.010371489652475625,0.0,0.0,0.007974345341299472,0.0,3.3839813182723333e-06,1.6919906589800074e-06,0.0,0.0,0.0,0.0,0.0,0.0,11
