run_at,run_date,mode,exit_code,status,price_latest,indicator_1d_latest,append_candidate_rows,empty_fetch_count,fetch_failed_count,fallback_used_count,cancel_judgement,report_path,metrics_path
"2026-05-10 22:00:44","2026-05-10","DryRun",1,"AUTOMATION_COMMAND_FAILED","","","","","1","","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220044.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220044.json"
"2026-05-10 22:01:17","2026-05-10","DryRun",1,"AUTOMATION_COMMAND_FAILED","","","","","1","","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220117.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220117.json"
"2026-05-10 22:03:14","2026-05-10","DryRun",1,"AUTOMATION_COMMAND_FAILED","","","","","1","","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220311.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220311.json"
"2026-05-10 22:04:04","2026-05-10","DryRun",1,"AUTOMATION_COMMAND_FAILED","","","","","1","","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220401.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220401.json"
"2026-05-10 22:06:00","2026-05-10","DryRun",0,"WARN_EXTERNAL_FETCH_BLOCKED","2026-05-04","2026-05-04","0","1","1","0","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220446.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220446.json"
"2026-05-10 22:08:33","2026-05-10","Apply",0,"WARN_EXTERNAL_FETCH_BLOCKED","2026-05-04","2026-05-04","0","5","5","0","EODHD_CANCEL_HOLD","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_220706.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_220706.json"
"2026-05-10 22:43:24","2026-05-10","DryRun",0,"PASS_WITH_NO_NEW_DAY","2026-05-08","2026-05-08","0","0","0","0","NO_NEW_COMPLETED_DAY_NOT_ENOUGH_FOR_CANCEL","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260510_20260510_224204.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260510_20260510_224204.json"
"2026-05-12 08:08:05","2026-05-12","Apply",0,"PASS_APPEND_DONE","2026-05-11","2026-05-11","5","0","0","0","EODHD_CANCEL_CANDIDATE_NEEDS_2_TO_3_CONSECUTIVE_PASSES","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260512_20260512_080657.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260512_20260512_080657.json"
"2026-05-13 08:08:09","2026-05-13","Apply",0,"PASS_APPEND_DONE","2026-05-12","2026-05-12","5","0","0","0","EODHD_CANCEL_CANDIDATE_NEEDS_2_TO_3_CONSECUTIVE_PASSES","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260513_20260513_080643.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260513_20260513_080643.json"
"2026-05-15 01:55:48","2026-05-15","Apply",0,"PASS_APPEND_DONE","2026-05-14","2026-05-14","10","0","0","0","EODHD_CANCEL_CANDIDATE_NEEDS_2_TO_3_CONSECUTIVE_PASSES","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_report_20260515_20260515_015441.md","C:\Users\user\lens\docs\daily_yfinance_append_gate_runs\daily_yfinance_append_gate_metrics_20260515_20260515_015441.json"
